0 1 2
3 4 14
4 5 15
5 6 16
6 7 17
7 8 18
8 9 19
9 10 20
10 11 21
11 12 22
13 14 24
14 15 25
15 16 26
16 17 27
17 18 28
18 19 29
19 20 30
20 21 31
21 22 32
22 23 33
23 24 34
24 25 35
26 27 37
27 28 38
28 29 39
29 30 40
30 31 41
31 32 42
32 33 43
33 34 44
34 35 45
35 36 46
36 37 47
37 38 48
39 40 50
40 41 51
41 42 52
42 43 53
43 44 54
44 45 55
45 46 56
46 47 57
47 48 58
48 49 59
49 50 60
50 51 61
52 53 63
53 54 64
54 55 65
55 56 66
56 57 67
57 58 68
58 59 69
59 60 70
60 61 71
61 62 72
62 63 73
63 64 74
65 66 76
66 67 77
67 68 78
68 69 79
69 70 80
70 71 81
71 72 82
72 73 83
73 74 84
74 75 85
75 76 86
76 77 87
78 79 89
79 80 90
80 81 91
81 82 92
82 83 93
83 84 94
84 85 95
85 86 96
86 87 97
87 88 98
88 89 99
89 90 100
13 3 14
14 4 15
15 5 16
16 6 17
17 7 18
18 8 19
19 9 20
20 10 21
21 11 22
22 12 23
23 13 24
24 14 25
26 16 27
27 17 28
28 18 29
29 19 30
30 20 31
31 21 32
32 22 33
33 23 34
34 24 35
35 25 36
36 26 37
37 27 38
39 29 40
40 30 41
41 31 42
42 32 43
43 33 44
44 34 45
45 35 46
46 36 47
47 37 48
48 38 49
49 39 50
50 40 51
52 42 53
53 43 54
54 44 55
55 45 56
56 46 57
57 47 58
58 48 59
59 49 60
60 50 61
61 51 62
62 52 63
63 53 64
65 55 66
66 56 67
67 57 68
68 58 69
69 59 70
70 60 71
71 61 72
72 62 73
73 63 74
74 64 75
75 65 76
76 66 77
78 68 79
79 69 80
80 70 81
81 71 82
82 72 83
83 73 84
84 74 85
85 75 86
86 76 87
87 77 88
88 78 89
89 79 90
91 81 92
92 82 93
93 83 94
94 84 95
95 85 96
96 86 97
97 87 98
98 88 99
99 89 100
